alpha,beta,theta,delta,gamma,key
0.03467121397631421,0.015114697075116538,0.012495916324437592,0.06314298105408282,0.09552869858148784,2
0.03537577715238934,0.017232961392886166,0.011857786350911453,0.058985903783669004,0.09558899151637308,2
0.03619312043410747,0.017359373095077582,0.01179337090341995,0.05990542661858438,0.09883726653238316,2
0.036128115603556464,0.016529346383154862,0.01332359851971652,0.06126234064359129,0.09575985866473564,2
0.03573790253480131,0.01941389229990739,0.014680365247775322,0.06411621424549918,0.09821687442837786,2
0.037721763394629154,0.023778007402478492,0.01319474390031018,0.063565722154124,0.09697067962629163,2
0.039854022847577074,0.021721678522698844,0.014314810147776899,0.06426413328922026,0.10024851745195838,2
0.03660199055682152,0.024653259453745358,0.014298769680794283,0.06354458008447818,0.09940079764316706,2
0.03604078592308278,0.023101835549447735,0.014338505376528227,0.06663350461142643,0.09903057451088185,2
0.037109121668029474,0.020571114586175002,0.014045282655100846,0.0671736196564442,0.09823558360879057,2
0.03105002214401961,0.021684123683007078,0.01322758810841023,0.06544691842739926,0.0977771685819697,2
0.029828546478189565,0.02063028332887567,0.01321427620974,0.064674712452678,0.09870029222270711,2
0.030628435886280857,0.021733807062963562,0.01258992544794576,0.06226860089862966,0.09736166979617855,2
0.02758797405789618,0.021962461729409053,0.014044733610770814,0.061564813883076566,0.09455133367922065,2
0.032158304294892276,0.02237993553445804,0.012813811665503425,0.05973888979799514,0.09241680055243487,2
0.034965193204458705,0.02103334529437534,0.013013377180692967,0.0605870597172439,0.08799684842396915,2
0.03502506361853981,0.02105580458936756,0.013411001757259908,0.06399479001574018,0.08764204084041267,2
0.03645152676925125,0.020375992387238327,0.012820617020998123,0.06400512991137718,0.08638316070940934,2
0.03463231118631718,0.01903764523228019,0.01285890995187716,0.06602942737152823,0.08696609374350431,2
0.04107780948350673,0.023196005592373503,0.013876108299909876,0.06672940310431343,0.08767498416604502,2
0.04297001327034902,0.022901876665597235,0.012758177432703643,0.06643904134507941,0.08367465063522363,2
0.044797337419926954,0.022961911991506524,0.012387951053276818,0.06325755076498066,0.08097819372881528,2
0.04733087552563674,0.02336924428699601,0.013058644421651918,0.06107253857081507,0.07931320592880298,2
0.04544798987736819,0.02268961997327306,0.012687895597958245,0.06243581686408305,0.07622145986338956,2
0.04575671783634596,0.02114086461481846,0.011962257590538476,0.05667523544673949,0.07647625065162904,2
0.04509782118574117,0.022830851269265328,0.011928352849308448,0.05610627065196477,0.07364899741430163,2
0.0432321247024806,0.020217103484432116,0.013145425298557178,0.05389509207133153,0.07157963921056543,2
0.04570784785897583,0.021070043178055504,0.011593845683147766,0.05390454969103582,0.07017227393109253,2
0.04404489099820132,0.021177467086968754,0.011959481989990636,0.050577752857611236,0.06787325701300308,2
0.043530473336114955,0.01700967543033779,0.011316746765045278,0.04915337329874009,0.0635567917640982,2
0.04065943072853962,0.01662988319745137,0.009819871714476664,0.04816581984621825,0.06225991908416527,2
0.042674626670332255,0.015820979254889588,0.010117128869249618,0.04614959298432525,0.05990215389266704,2
0.03937904263164979,0.014370664338318719,0.008221162079024005,0.04221155084692105,0.05763746126510958,2
0.0400197880054169,0.014313508979446334,0.007799270294641452,0.03897813596823483,0.05539912604129255,2
0.040182839510814077,0.014430921741841516,0.008170897632928676,0.037352162967182155,0.05421856786783418,2
0.041614897377174546,0.013886690677190689,0.0077471403011096715,0.0352598236764059,0.049488869783188616,2
0.03758398233892229,0.01381798163193869,0.008094046643015586,0.034838085134975626,0.04688705962560746,2
0.03967615307953242,0.013453148644645424,0.006417615504241461,0.0331806076939912,0.044910806768263874,2
0.041286721749563486,0.011332929052466172,0.00722612306894806,0.03370726600566363,0.044344108576488815,2
0.036547376440613746,0.013710148456447604,0.0073131841685811156,0.03434083124893147,0.04307867840183188,2
0.03376642885637917,0.012654906143339459,0.008607861441779944,0.03359701920838889,0.03775377422839057,2
0.035462038077985855,0.011224180878712537,0.007774215822187094,0.025598435909716194,0.03299114748361663,2
