alpha,beta,theta,delta,gamma,key
0.04957804253807996,0.02725446986876463,0.017172392375182845,0.037262171394239735,0.04539590386900759,2
0.04632027866744885,0.031093615116291898,0.017420197897114457,0.03685150735961026,0.044562106089301466,2
0.04890951758039792,0.03149968082654627,0.017761774762305216,0.03771261958351447,0.04462779910910796,2
0.04949708374348987,0.032454717365050574,0.017961281014158566,0.03584475466413234,0.04578383681519012,2
0.05184848170079131,0.03199080045090966,0.01778787131250295,0.034887208748241985,0.04553440228050784,2
0.04850773171103694,0.03323368197748105,0.01754790693054857,0.034254750010925185,0.04586615319086055,2
0.0465997617637923,0.03357290608336495,0.018188727156009252,0.03528775511729682,0.04509753532188772,2
0.04880667538428511,0.03317356226518581,0.017016561110900805,0.034918461985698215,0.04601414968438393,2
0.0455080520545587,0.033530858214323576,0.017224307455255914,0.03481801255099928,0.04404129255285647,2
0.04467682128788751,0.03131094360862789,0.017571690066000567,0.0347890309493415,0.04526875337179182,2
0.03795219690232214,0.031134552942920682,0.015720880671616613,0.03285595238424152,0.04388402866890272,2
0.037353807374325906,0.03135612515534804,0.015571015704108371,0.03339207855981046,0.044670785616414965,2
0.034800505679084465,0.030370627735871146,0.017009167767315793,0.03283411644282311,0.04387072763603739,2
0.03590015463202485,0.030167698623896514,0.015365842165569157,0.03054495213793385,0.04360046667049412,2
0.042663621783641636,0.03154802995584656,0.01484910637907644,0.028801942727732115,0.04394453303467231,2
0.04798336640055214,0.031592419496771273,0.01585428341497679,0.03177561388215494,0.044645779712944304,2
0.05026881118480666,0.029332189827505135,0.015251020550326627,0.02995193967309969,0.0448367303748495,2
0.05163542106484856,0.029860209556947997,0.014323559226034318,0.03189747599755146,0.04421091712774587,2
0.05065777829126307,0.03134256668143254,0.013467809078864124,0.0323493027146165,0.04338237489591885,2
0.047857628704380456,0.029228212623492573,0.013218628768178942,0.031169743143970054,0.04394086688237192,2
0.051281779733707504,0.02886378974300369,0.01692411499756456,0.03825751930415711,0.04286117822687047,2
0.05272306701561338,0.029461975916610674,0.015291346094890352,0.03676370328025358,0.043857325161506096,2
0.05196260071855386,0.03055260066562006,0.014928722961773446,0.039290415454353814,0.042386670408739634,2
0.0498862617341041,0.02953148366190658,0.01603164624042529,0.03727229190196513,0.04133034948732678,2
0.046247468936561294,0.027927302228273033,0.013761193824467187,0.03731039400550353,0.040178507461665576,2
0.04559535317623383,0.027749959723540298,0.012882871320793939,0.03817371330224735,0.0408812425281139,2
0.04329631122167127,0.027832111937120357,0.013680017645919992,0.03713759343010359,0.04076681543302487,2
0.047612147035146025,0.026811819366559724,0.013915803416441636,0.03787259041020476,0.039286708225019853,2
0.044131147276073014,0.02509311384153877,0.014734585178818557,0.037836579306015056,0.038771818193820105,2
