alpha,beta,theta,delta,gamma,key
0.04483966657440691,0.020440789406110948,0.009944210043672639,0.03470119565372444,0.06348475008597178,1
0.04629339630629145,0.02072608013156409,0.010578965959187248,0.034175347981475236,0.06449220245311112,1
0.04287640833333937,0.022935343442184685,0.010799119786245032,0.03489583162007429,0.06394510109291696,1
0.043468490204406324,0.022123677131885493,0.010400933622174069,0.03486490042134968,0.06666246268044462,1
0.04411126282938389,0.021732407301217345,0.011897920329436757,0.03346600802204098,0.06510377105742772,1
0.04403498569519663,0.023127871582978958,0.012157651882817032,0.03515620251713943,0.06800159306244513,1
0.046795514262786074,0.025211117154583264,0.012382606378384009,0.03375491607021444,0.06629438645847749,1
0.04835247495424709,0.024459081567875945,0.011761597691684375,0.03538817410687859,0.06475383024623096,1
0.04983792645891112,0.022856312634107222,0.011397018382950132,0.03732411342133666,0.06714173539614023,1
0.05216728307174532,0.02331116032881309,0.011690935805652445,0.037239294722935086,0.0664439713205135,1
0.0510776744665651,0.02461045803395047,0.013061710205007142,0.03836433838885686,0.06861134793528101,1
0.048091941228352225,0.024305484434841644,0.011096434249731914,0.03715210632667359,0.0679720959745732,1
0.045539981126547245,0.02443085212421071,0.011055124650628736,0.03915975762982998,0.06758406508171531,1
0.040928159668736586,0.02555073918838787,0.012213298091140844,0.03917339538326058,0.0677202386443076,1
0.03883867095062855,0.02258255172768538,0.010902658461764215,0.03658890692523899,0.06460829951919118,1
0.03646067712055655,0.022214104482353617,0.01170317945874152,0.037869398582441496,0.06062434488191615,1
0.03663220591448552,0.023989176744307977,0.011718731158640746,0.03806691791693481,0.060980473462375596,1
0.03598179039897723,0.02418287158817818,0.011640489994158888,0.03793937743908049,0.06195145570809337,1
0.038313809624863505,0.022827173127101145,0.011504239755682304,0.03913902913591316,0.05869546691841202,1
0.03808826801056671,0.0239804764451892,0.011335553187121239,0.03795744863364529,0.05754311578864506,1
0.03775567247359086,0.024357470346279223,0.01201960557240817,0.036334316771577446,0.05672258631816851,1
0.038809797369977056,0.02400670636138244,0.011900222536670365,0.03727816965954924,0.05364273453622287,1
0.03816805708063677,0.023415217901548248,0.013021641256615181,0.03667926226212729,0.05372827403952502,1
0.036790331071375415,0.022911601180517358,0.012290195716333559,0.03546210057446542,0.05232050610279702,1
0.03476239495389797,0.023011729102907965,0.012068148499962895,0.03396418448535188,0.050915015514715396,1
0.03398894205900599,0.02211568704402248,0.013227278331329726,0.033434307730314534,0.04866900375239043,1
0.035235541905077064,0.022026056518974622,0.012396407939049362,0.033204382974468316,0.04673736736719892,1
0.03325925146913607,0.02228731776419897,0.011916634571751007,0.03335766492372124,0.047480859151606915,1
0.03413122865683508,0.02178616947230344,0.012030781507511691,0.033780090967342136,0.04549073638631758,1
0.03313116735271604,0.021485833118128173,0.012186687170308958,0.033585291778796475,0.04512416059245341,1
0.03251745342021926,0.020807012401421243,0.011608488521209522,0.034871297456454016,0.04651022361824071,1
